 Year,      Years (),   2018.0,   2019.0,   2020.0,   2021.0,   2022.0,   2023.0,   2024.0,   2025.0,   2026.0,   2027.0,   2028.0,   2029.0,   2030.0
   SP,     Events (Million),     10.9,     19.4,      6.5,      6.5,     43.5,     20.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
   DP,     Events (Million),      0.0,      0.5,      0.9,      2.0,     10.0,     10.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
   ND,     Events (Million),      0.0,      0.0,      0.0,      0.0,     10.0,     10.0,      0.0,      0.0,      0.0,      0.0,      0.0,     25.0,     25.0
   FD,     Events (Million),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      2.2,      2.2,      4.4
   SP,       Test (PB),      0.2,      0.6,      0.5,      0.8,      3.3,      0.5,      0.5,      0.5,      0.0,      0.0,      0.0,      0.0,      0.0
   DP,       Test (PB),      0.0,      0.0,      0.5,      0.2,      0.2,      0.2,      0.5,      0.5,      0.0,      0.0,      0.0,      0.0,      0.0
   ND,       Test (PB),      0.0,      0.0,      0.0,      0.0,      0.3,      0.3,      0.0,      0.0,      0.0,      0.0,      0.0,      0.5,      0.5
   FD,       Test (PB),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      1.5,     10.5,     10.5,     12.0,     12.0
   SP, Sim Events (M),      1.2,      5.0,      5.0,      5.0,      5.0,      5.0,      5.0,      5.0,      0.0,      0.0,      0.0,      0.0,      0.0
   DP, Sim Events (M),      1.2,      5.0,      5.0,      5.0,      5.0,      5.0,      5.0,      5.0,      0.0,      0.0,      0.0,      0.0,      0.0
   ND, Sim Events (M),      0.0,      0.0,     10.0,     25.0,     10.0,     10.0,     10.0,     10.0,     50.0,     50.0,    100.0,    100.0,    100.0
   FD, Sim Events (M),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     10.0,     10.0,     10.0,     10.0,     10.0
   SP,        Raw (PB),      0.8,      1.4,      0.5,      0.5,      3.0,      1.4,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
   DP,        Raw (PB),      0.0,      0.1,      0.1,      0.2,      1.1,      1.1,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
   ND,        Raw (PB),      0.0,      0.0,      0.0,      0.0,      0.1,      0.1,      0.0,      0.0,      0.0,      0.0,      0.0,      0.2,      0.2
   FD,        Raw (PB),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      3.9,      3.9,      7.7
   SP,        CPU (MHr),      3.6,     10.1,     12.3,     10.8,     18.8,     23.3,     21.2,      6.7,      0.0,      0.0,      0.0,      0.0,      0.0
   DP,        CPU (MHr),      0.0,      0.2,      0.5,      1.1,      4.3,      7.3,      6.7,      3.3,      0.0,      0.0,      0.0,      0.0,      0.0
   ND,        CPU (MHr),      0.0,      0.0,      0.0,      0.0,      1.0,      2.0,      2.0,      2.0,      2.0,      2.0,      2.0,      4.5,      7.0
   FD,        CPU (MHr),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      5.5,     11.0,     22.0
   SP,    Sim-CPU (MHr),      0.9,      3.8,      3.8,      3.8,      3.8,      3.8,      3.8,      3.8,      0.0,      0.0,      0.0,      0.0,      0.0
   DP,    Sim-CPU (MHr),      0.9,      3.8,      3.8,      3.8,      3.8,      3.8,      3.8,      3.8,      0.0,      0.0,      0.0,      0.0,      0.0
   ND,    Sim-CPU (MHr),      0.0,      0.0,      1.2,      3.0,      1.2,      1.2,      1.2,      1.2,      6.0,      6.0,     12.0,     12.0,     12.0
   FD,    Sim-CPU (MHr),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      7.5,      7.5,      7.5,      7.5,      7.5
   SP,       Reco (PB),      0.4,      1.1,      1.3,      1.1,      2.0,      2.5,      2.2,      0.7,      0.0,      0.0,      0.0,      0.0,      0.0
   DP,       Reco (PB),      0.0,      0.0,      0.0,      0.1,      0.3,      0.4,      0.4,      0.2,      0.0,      0.0,      0.0,      0.0,      0.0
   ND,       Reco (PB),      0.0,      0.0,      0.0,      0.0,      0.2,      0.4,      0.4,      0.4,      0.4,      0.4,      0.4,      0.9,      1.4
   FD,       Reco (PB),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.4,      0.8,      1.5
   SP,        Sim (PB),      0.3,      1.1,      1.1,      1.1,      1.1,      1.1,      1.1,      1.1,      0.0,      0.0,      0.0,      0.0,      0.0
   DP,        Sim (PB),      0.3,      1.1,      1.1,      1.1,      1.1,      1.1,      1.1,      1.1,      0.0,      0.0,      0.0,      0.0,      0.0
   ND,        Sim (PB),      0.0,      0.0,      0.5,      1.2,      0.5,      0.5,      0.5,      0.5,      2.5,      2.5,      5.0,      5.0,      5.0
   FD,        Sim (PB),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      2.0,      2.0,      2.0,      2.0,      2.0
ProtoDUNE,     Events (Million),     10.9,     19.9,      7.4,      8.5,     53.5,     30.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
ProtoDUNE,       Test (PB),      0.2,      0.6,      1.0,      1.0,      3.6,      0.7,      1.0,      1.0,      0.0,      0.0,      0.0,      0.0,      0.0
ProtoDUNE, Sim Events (M),      2.5,     10.0,     10.0,     10.0,     10.0,     10.0,     10.0,     10.0,      0.0,      0.0,      0.0,      0.0,      0.0
ProtoDUNE,        Raw (PB),      0.8,      1.4,      0.6,      0.7,      4.1,      2.5,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
ProtoDUNE,        CPU (MHr),      3.6,     10.3,     12.7,     11.9,     23.1,     30.7,     27.8,     10.0,      0.0,      0.0,      0.0,      0.0,      0.0
ProtoDUNE,    Sim-CPU (MHr),      1.9,      7.5,      7.5,      7.5,      7.5,      7.5,      7.5,      7.5,      0.0,      0.0,      0.0,      0.0,      0.0
ProtoDUNE,       Reco (PB),      0.4,      1.1,      1.3,      1.2,      2.2,      2.9,      2.6,      0.9,      0.0,      0.0,      0.0,      0.0,      0.0
ProtoDUNE,        Sim (PB),      0.6,      2.2,      2.2,      2.2,      2.2,      2.2,      2.2,      2.2,      0.0,      0.0,      0.0,      0.0,      0.0
Analysis,  Total-CPU (MHr),      5.5,     17.8,     21.4,     22.4,     32.8,     41.4,     38.5,     20.7,     15.5,     15.5,     27.0,     35.0,     48.5
Total,     Events (Million),     10.9,     19.9,      7.4,      8.5,     63.5,     40.0,      0.0,      0.0,      0.0,      0.0,      2.2,     27.2,     29.4
Total,       Test (PB),      0.2,      0.6,      1.0,      1.0,      3.9,      1.0,      1.0,      1.0,      1.5,     10.5,     10.5,     12.5,     12.5
Total, Sim Events (M),      2.5,     10.0,     20.0,     35.0,     20.0,     20.0,     20.0,     20.0,     60.0,     60.0,    110.0,    110.0,    110.0
Total,        Raw (PB),      0.8,      1.4,      0.6,      0.7,      4.2,      2.6,      0.0,      0.0,      0.0,      0.0,      3.9,      4.1,      8.0
Total,    Sim-CPU (MHr),      1.9,      7.5,      8.7,     10.5,      8.7,      8.7,      8.7,      8.7,     13.5,     13.5,     19.5,     19.5,     19.5
Total,       Reco (PB),      0.4,      1.1,      1.3,      1.2,      2.4,      3.3,      3.0,      1.3,      0.4,      0.4,      0.8,      1.7,      2.9
Total,        Sim (PB),      0.6,      2.2,      2.7,      3.5,      2.7,      2.7,      2.7,      2.7,      4.5,      4.5,      7.0,      7.0,      7.0
Total,  Total-CPU (MHr),     11.0,     35.5,     42.9,     44.9,     65.7,     82.7,     77.1,     41.4,     31.0,     31.0,     54.0,     70.0,     97.0
Total,      Cores (2020 Vintage Cores),   1796.8,   5795.4,   6991.5,   7317.6,  10710.4,  13494.1,  12569.8,   6752.1,   5055.4,   5055.4,   8806.3,  11415.5,  15818.7
Tape Copies,        Raw (PB),      1.5,      2.8,      1.1,      1.4,      8.5,      5.2,      0.0,      0.0,      0.0,      0.0,      7.7,      8.2,     15.9
Disk Copies,        Raw (PB),      0.8,      1.4,      0.6,      0.7,      4.2,      2.6,      0.0,      0.0,      0.0,      0.0,      3.9,      4.1,      8.0
